,Author,Text
820,Dragodar,"Bendron wrenches on the brake. This time, no sparks fly, but the soft head of the brakeshaft leaves a dark streak on the stone tracks as the railcar slowly comes to a gentle stop. Bendron hops out of the track onto the roughly hewn ground of the tunnel ready to make his way around to the back of the cart. As the railcars stop, Lou looks up and ceases her whimpering. Catching sight of the foul creature wrapped around Chadwick, she bares her teeth in a snarl.Demryon quickly releases another two arrows at the creature.<i>+9 RAB+1 misc-2 Cramped ConditionsAttack 1: (1d20+8)25Attack 2:(1d20+8)14<i>+1 misc+2 compositeDamage 1: (1d8+3)6 + Skirmish: (1d6)4<i>+1 misc+2 compositeDamage 2: (1d8+3)5The first arrow strikes true, embedding itself in the writhing mess of wings and armor, but the second whistles past. From within the heavy wings of the creature comes a muffled yell of pain.Lou lets out a bark and leaps forward, snapping aggressively at the beast.Attack: (1d20+3)18Damage: (1d6+1)6Lou's jaws snap down on the monster and she bites hard. Another muffled cry can be heard from within the monster's wings.You feel a heavy impact and a sharp pain in your side, and then the monster's teeth are upon you again.You are now at 26/38 HP.Attack: (1d20+4)15Damage: (1d4+2)5The monster's teeth fail to find hold in your flesh on its second attempt, but it is becoming increasingly difficult to breath and you are still unable to see anything or move freely.<u>Opposed Grapple ChecksMonster: (1d20+13)19Chadwick: (1d20+2)16You feel a pain in your leg as something bites down hard on it. You know that the monster's mouth is against your chest, so it wasn't the perpetrator of this new attack.You are now at 23/38 HP.: Unconscious: Nauseated: Unconscious (3/4) Rounds: Nauseated (3/3) RoundsYou are now at 23/38 HP.You are now at 14/45 HP.You are now at 18/32 HP.You are now at 9/43 HP.You are now at 31/31 HP.<u>Round 3<strike>Seamus</strike></li></ol>"
821,Graehamkracker,"Bendron walks to the back of the train, using his halberd as a cane. As he walks, he looks for an opening - the beast's tail, or head, or wingtip. Ultimately, he sighs, sets his feet and raises the halberd high. <i>""BRACE!"" He strikes at the beast with the blade of the halberd about where Chadwick's breastplate might be.Punishing stance still activeAttack with mountain hammer (+2d6)ATK: (1d20+9)13DMG: (3d6)14"
822,Dragodar,"Bendron brings his halberd down heavily with a practiced swing, but at the last moment the creature wriggles unpredictably, and Bendron's blow glances off the side of the stone cart.Demryon quickly releases another two arrows at the creature, but Lou's presence in the cart makes the conditions even more cramped than before, and he is unable to make good shots.<i>+9 RAB+1 misc-4 Cramped ConditionsAttack 1: (1d20+6)17Attack 2:(1d20+6)18<i>+1 misc+2 compositeDamage 1: (1d8+3)5 + Skirmish: (1d6)2<i>+1 misc+2 compositeDamage 2: (1d8+3)10Though the first arrow misses, the second strikes true and pierces deep into the monster's hide. There is little more than a grunt and a kick from within, as the thrashing movements of the smothered Chadwick begin to slow.Lou snaps at the beast yet again.Attack: (1d20+3)13Damage: (1d6+1)3Her jaws snap shut on thin air as the wriggling mass eludes her. While Lou's bite misses the foe, Gideon's eyes open. He looks up at the scene unfolding before him, as he ceases his vomiting and wipes his mouth.A sharp, stabbing pain pierces the center of your back. You are now at 18/38 HP.The unseen mouth opens yet again, preparing to savage you once more.Attack: (1d20+4)19Damage: (1d4+2)4The monster's teeth dig deep into your chest yet again, tearing through your skin and sending waves of burning pain through your body. You are disoriented and in agony, unable to see and barely able to breathe.You are now at 14/38 HP.<u>Opposed Grapple ChecksMonster: (1d20+13)26Chadwick: (1d20+2)18You are unable to free yourself from the smothering grasp. As you gasp ineffectually for breath, you feel yourself weakening, and you hear the sweet siren's call of sleep as your mind begins to muddle.: Unconscious: Unconscious (4/4) RoundsYou are now at 14/38 HP.You are now at 14/45 HP.You are now at 18/32 HP.You are now at 9/43 HP.You are now at 31/31 HP.<u>Round 4<strike>Seamus</strike></li></ol>"
823,Nightwing32193,"""You have GOT to be kidding me right now."" he mumbles to himself as he attempts to climb out of the cart, stand upright, draw his bow, and notch an arrow. He takes as careful aim as he can and fires at the beast."
824,RealZachKraus,"""There's something grabbing my leg get me the FÛCK outta here!!"""
825,Dragodar,"""Grabbing... FÛCK...""Attack: (1d20+7)20Damage: (1d8)6The arrow flies true and pierces through the wings of the beast. There is a feeble kick from Chadwick obscured form, then stillness as the monster thrashes around, maintaing its hold on the paladin.You feel another sharp, stabbing pain, this time in your lower back.You are now at 11/38 HP.The unseen mouth opens yet again, preparing to savage you once more.Attack: (1d20+4)22Damage: (1d4+2)6Once more, the monster's stinking maw snaps shut and its pointed teeth bite deep into your chest. The pain lasts only a moment, though, then quickly begins to fade as you feel yourself falling backwards, away from consciousness. Everything goes black as you lose your senses.You are now at 5/38 HP and unconscious.: Unconscious: Unconscious (4/4) Rounds<u>Chadwick: Unconscious (1/6) RoundsYou are now at 5/38 HP.You are now at 14/45 HP.You are now at 18/32 HP.You are now at 9/43 HP.You are now at 31/31 HP.<u>Round 4<strike>Seamus</strike></li></ol>"
826,Graehamkracker,"This time Bendron aims his downswing for the monster's tail.Base attack, -5 for calledManeuvers resetATK: (1d20+4)20DMG: (1d10+6)13 + roll1d6/roll (rolled as a 5 below)"
827,Dragodar,"Bendron chops at the beast with a mighty roar, and his halberd crashes down with a heavy crunch into the base of its tail. The tail is immediately severed, and begins to twitch and flail on its own like the tail of a lizard. A hideous squeal, sounding almost more like a whistle, escapes the monster, and it suddenly releases its hold on the paladin.Chadwick falls back into the cart, completely limp as he becomes visible to the party for the first time since being enveloped. His body is riddled with wounds; chest covered in savage gashes from the creature's fangs, and blood pouring from every part of his body. He slumps into the cart and lays there motionless, his eyes closed.As the paladin collapses into a heap in the railcar, two things happen simultaneously. First, the monster itself falls backwards out of the cart and onto the track at Bendron's feet. It huge form thrashes about in agony as its massive wings flap and flutter uselessly. Second, a small blonde head pops up from the front railcar. Seamus looks out over the scene, his eyes tired and glazed over as he struggles to take in what is going on.Demryon sends two more arrows into the flailing creature as it flops around on the tracks.<i>+9 RAB+1 misc-2 Cramped ConditionsAttack 1: (1d20+8)16Attack 2:(1d20+8)19<i>+1 misc+2 compositeDamage 1: (1d8+3)3 + Skirmish: (1d6)2<i>+1 misc+2 compositeDamage 2: (1d8+3)7The first arrow goes awry but the second strikes the beast in the face, silencing it for good. It jerking movements cease as it crumples mundanely on the tracks and leaks dark black blood from its wounds.The tunnel is silent but for the heavy breathing of the sorely afflicted party members.You are now at 5/38 HP.You are now at 14/45 HP.You are now at 18/32 HP.You are now at 9/43 HP.You are now at 31/31 HP."
828,Graehamkracker,"""How bad is he?"" Bendron asks as he limps slowly back to the front cart"
829,Nightwing32193," survival check to inspect Chads wounds.""Oh you son of a bîtch."" Gideon kneels next to his comrade and inspects his wounds."
830,Graehamkracker,"""That bad? Hopefully we can get somewhere safe uninterrupted and start patching things up."" Bendron pits a hand on the edge of the cart and peeks over to see Chadwick laying inside."
831,Dragodar,"Survival Check: (1d20+5)19As you run your gaze over Chadwick's wounds, you realize that he is in very bad shape. He is stable for now, but severely injured.As the rest of the party inspects Chad's gruesome body, they see that three arrowheads are broken off in his back, and there is a nasty set of fang marks on his calf, presumably accidental side effects of Lou and Demryon trying to help. But that is not the worst of it. Chadwick's chest and face are fiercely savaged. Long, brutal gashes mar his face and neck, and blood seeps from the gaps in his breastplate near the neck and arms. His entire face is red with blood and covered in nasty cuts, and his arms and shoulders are soaked in blood as well. He is breathing, but weakly.Now that the fighting is over, the group takes a look at each other and realizes that they are in bad shape as a whole. Bendron's leg is broken and he bleeds from several painful looking wounds. Gideon, much like Chadwick, is covered in a slew of nasty looking gashes, is soaked in blood, and is looking particularly weak and pale. Seamus has a large bruise on the side of his head that is oozing blood slowly, and a dark stain on the left side of his ribcage. Lou's fur is matted and sticky with blood, and she seems to be limping slightly. Demryon seems almost completely fine, having managed to keep his distance from the worst of the melee; he bears several ugly scratches but nothing serious.The still air of the tunnel feels stifling and hot to the adventurers, who are already warm from the combat they've been slugging through."
832,Graehamkracker,"""Do we want to try camping here for a spell, or get back to moving towards the surface?"""
833,BeefyChickens,"""I believe the best course of action would be to just rest our limbs, and make sure theyre still there. Seamus, is it at all possible you could be of help to our friend Chad?"
834,Nightwing32193,"""Chads in bad shape. Lets rest. Hows your leg?"
835,Graehamkracker,"""Broke"" Bendron grunts"
836,Nightwing32193,"Gideon chuckles and attempts to wipe a bloodstain from his face, ""But much less exciting."""
837,Graehamkracker,"""I thought you had been cast out from your tribe after that usurper warlord killed your family? That doesn't sound very fine."" Bendron asks, confusion visible on his tired face."
838,Nightwing32193,"""First of all it was Genji, secondly yeah, this is not the first time I've come within an inch of death. But lets see what we can do about our wounds for now. Seems foolish to sit here while Chad is bleeding out."" ok GM, since hes stable what can i do to help him?? Stop the bleeding? "
839,Dragodar,He needs healing. That means either magic or a good nights sleep.  means he isn't currently losing hit points so he isn't going to die as long as nothing happens to make it worse.But he also isn't going to get any better until he's healed.
840,Graehamkracker,"""Then let's keep moving. We can't be more than halfanhour from our end."""
841,Nightwing32193,"""Give us a moment for pity's sake! You can barely move as it is, Chad isn't even conscious. We need to rest.""  "
842,Graehamkracker,"""Just wanted to make sure you all weren't still too uncomfortable this far underground """
843,Nightwing32193,"Gideon looks up at Bendron and sighs, his body still in incredible pain, ""I don't posses your healing powers, brother. I am sorry. I feel so useless. Stay with me. For Mirian. You have to make it back to her."" he grasps Chad's hand and rests his forehead on his fallen brother's chest."
844,Dragodar,"As the party discusses a course of action, the paladin stirs slightly. A brief cough escapes his lips, and his eyes slowly open. Gradually regaining consciousness, Chadwick looks around and takes stock of his surroundings."
845,Nightwing32193,"Startled by the sudden show of life, Gideon jerks his head up, then immediately groans in pain and clutches his neck, ""Thank your gods, Chad. I almost started praying for you."
846,RealZachKraus,"Chadwick closes his eyes and addresses Gideon first:""I'll mark that a win. Hyroneus isn't finished with me yet. Nor you, apparently.""He then opens his eyes and surveys the situation around him. Covering his mouth and caughing up a blot of blood onto his unarmored left hand, weakly begins to speak between labored breaths. ""I wanted.. to take.. the river."""
847,Graehamkracker,"""With this luck, we would've drowned."" "
848,RealZachKraus,"Ignorning that, Chadwick says, ""And who's the fûcken hero who shot me,"" even though he pretty much knew."
849,BeefyChickens,"""Yet you are still breathing, are you not? Happy to see you conscious, Chad"" Demryon said with a slight smile on his face, appreciating the paladins ability to crack up through pain."
850,Nightwing32193,"Ignoring the witless banter around him Gideon helps Chad into an upright position,""You kidding me? Not a chance in all the hells. Can you stand?"""
851,BeefyChickens,"""How long do we plan on staying here?"""
852,RealZachKraus,"Chadwick clasps the symbol around his neck. ""Assuming those carts are still working. How did we manage to get rid of the pillowcase anyway?"""
853,Nightwing32193,"""Dem filled the creature full of arrows. That's how we killed it."""
854,RealZachKraus,"""That's.. that's great."""
855,BeefyChickens,"""A quick one she was, but not quicker than me; I apologize for the collateral again."""
856,Dragodar,Time passes as the group decides what to do.
857,Graehamkracker,Bendron sits against the wall and sets to cleaning the grime from his weapon and re-honing the edge as the rest bicker and settle in.
858,RealZachKraus,Channel Energy.for healing
859,Dragodar,"Chadwick grasps the small talisman, shaped like a silver shield, which hangs around his neck, as he struggles up from his prone position and onto his knees. Closing his eyes and muttering a prayer to his god, the paladin lifts the shield amulet and and the rest of the group feels the same tingling in the air as before. For several minutes, Chadwick remains in prayer, his eyes shut and his lips moving almost imperceptibly.Chadwick: (8d6)29Gideon: (8d6)20Seamus: (8d6)24Lou: (8d6)28Bendron: (8d6)37Demryon: (8d6)41A static crackle builds in the atmosphere around them, humming and shivering as Chadwick prays. It continues to build for several minutes, and then suddenly dissipates with an inaudible pop and the slightest trace of a cool breeze of fresh air. Everyone feels revitalized and refreshed, and everyone's wounds are miraculously closed and already covered in scar tissue.Only Gideon and Chadwick remain even slightly injured, and even they are almost completely healed. Reinvigorated and feeling exceptional, the party has all but forgotten their injuries and happily begin setting up their bedrolls for some well earned sleep.You have used (5/5) charges of your <i>Channel Energy ability for the day.You are now at 34/38 HP.You are now at 34/45 HP.You are now at 32/32 HP.Lou is now at 21/21 HP.You are now at 43/43 HP.You are now at 31/31 HP.The following nine hours pass uneventfully, with the party taking turns keeping watch in the shifts to which they have grown accustomed. By the time they have gotten their sleep, everyone is refreshed and ready to press on.You are now at 38/38 HP.You are now at 45/45 HP.You are now at 32/32 HP.Lou is now at 21/21 HP.You are now at 43/43 HP.You are now at 31/31 HP."
860,Graehamkracker,"Bendron pack up and streches, testing out his leg. ""Seems like this may have been a bit overdue. My apologies for pushing us forward and not thinking of the beasts that have made their homes here. I didn't realize the shape we were all in until we were stretched too thin."""
861,BeefyChickens,"""Were just as anxious as the other to be out of here. The oversight is quite understandable, lad."""
862,Nightwing32193,"""You're one tough son of a bïtch Ben. But we needed to recoup. Now lets get moving again."""
863,RealZachKraus,"With his unarmored hand, Chadwick reassuringly pats the dwarf on the shoulder. ""Well the important thing is I'm alive. Let's get the hėll outta here."" He lifts his axe and strides back towards the carts."
864,Dragodar,"The party regroups and once again enters the railcars. Pushing the brake handle forward, they set off down the tracks. After about ten minutes, the cart slows down, rattling and bumping along, the ride no longer smooth. Within seconds, the carts have stopped. Investigating the cause, the group of adventurers discovers that the tracks are covered in dirt. Until now, the tunnel had been entirely rock. The tracks disappear entirely after a few more yards, seeming to continue straight into the dirt, as though the earth had grown up around them. A few yards further down, there seems to be an interspersing of mushrooms in the soft soil.The unfortunate revelation of the end of the rails, however, is not their only discovery. Looking further down the tunnel, they are able to see a tiny pinprick of light in the distance. It seems to be over half a mile off, though accurate depth perception in the small, dark tunnel is difficult to come by."
865,Graehamkracker,"""Looks like a bit of a hike, and then we're out. I wonder what the mines will be like with this tunnel caved in."" Bendron climbs out of the cart as he speaks, and starts the walk toward the tunnel's mouth"
866,Dragodar,"The party disembarks from the railcars and trudges forward through the soft dirt. As they near the mouth of the tunnel, they realize that the ceiling is closer than it had been. Back before the soil, the ceiling was nearly twelve feet above the tracks. About halfway to the mouth of the tunnel, it was closer to eight. By the time the party was within twenty yards of the mouth, all but Bendron and Seamus were stooping low to avoid hitting their heads on the rock ceiling. Reaching the exit, they find the opening to be just over four feet high, and barely ten feet across though it had been over twenty. The natural movement of the soil had clogged the entrance of the tunnel over the years; they were lucky that it hadn't completely closed it up.Squeezing through the opening, the party tumbles out into blinding sunlight. For several moments, their eyes slowly adjust. When they are no longer dazzled by the bright light, they are able to see that they are in a huge quarry. The deep crater they are in is roughly rectangular, and the huge expanse is nearly 600 by 1500 feet. The sheer walls of the massive pit ascend in step-like segments, the circumference of the crater growing wider and wider in sharp, regular intervals nearer the surface. Each segment of the walls is over one hundred feet high, and there are four segments. Connecting each level to the next are long, gradual ramps, hewn directly from the earth.Like this:In front of them lies a massive quarry lake, the result of many years of natural rainfall over the deep quarry. Across the lake lie the ancient and overgrown remains of long untouched mining equipment, harshly weathered by the elements. From the position of the sun, it seems to be early to mid morning.You are <i>Dazzled by the sunlight.By your best estimate, it is about 9 am on Wednesday, Iru 10th."
867,Nightwing32193,"Gideon drops to his knees and raises his arms above his head,""Sunlight. I never thought I'd be happier to see it."" standing back up he surveys the quarry in front of his party. Trying to determine wether or not it was able to be climbed."
868,Dragodar,"Connecting each level to the next are long, gradual ramps, hewn directly from the earth."
869,Graehamkracker,"Looking around to take in his surroundings, Bendron starts ""So of this is , as it seems to be, we ought to be to the west of any peoples. There used to be a collection of <i>markaðir to the east some tenortwenty miles from here - those may have grown to form this <i>Farindahl"
870,BeefyChickens,"""Right you are Bendron, my home isnt far now. We should only be but 25 miles out."
871,Graehamkracker,"""May as well get moving then."" Bendron replies as he heads up the slope."
872,RealZachKraus,"Chadwick pauses before heading up the ramp, ""Hey Elf, your people DO have liquor, eh?"""
873,BeefyChickens,"""We do not distill any liquors in Faridahl, but we do however have wines that will put a dwarf on his back end."""
874,RealZachKraus,"Chadwick shrugs then smiles, ""Yeah that'll play. Let's move."" He nudges Gideon.""Good for somethin, eh?""He takes off up the ramp at an alarmingly quick rate."
875,BeefyChickens,"""Youll like it Chadwick, you have my word. I dont want to get yours hopes up, but my father and I had quite the collection of decanters, that we liked to store our imported whiskey in. If the orcs havent found it and consumed it all, Id be more than willing to celebrate a victory with what remains."""
876,Graehamkracker,"""How many of these orcs may we expect to find?"""
877,BeefyChickens,"""No more than four thousand. I know the odds seem a little stacked, but Ive sent my owl to Moedri for aid in reclaiming Farindahl. Our combined efforts should more than even the odds."
878,Graehamkracker,"""Is there a plan, or are we just going to march over there and request their formal surrender?"" Bendron replies with a jovial jab"
879,BeefyChickens,"""I do not know what the future holds, but one look at your mug and Im certain we will see white flags."" Demryon says with a chuckle"
880,Graehamkracker,"""If they hold any memory of the Yundri, thats all it would take. Do you know if they came from the mountains, or from across the sea?"""
881,Nightwing32193,"Gideon sprawls out on his back. Still clearly enjoying the sunlight. Keeping his eyes closed he addresses the elf, ""What can you tell us about these orcs? I'm assuming by sheer number of them they aren't native to Aezalon."""
882,BeefyChickens,"*""They came from the sea, Bendro; and Gideon, just like any Orc, big, ugly and like taking things that do not belong to them."
883,Graehamkracker,"""Wonderful. I've heard tell of the <i>Afanafi, but no more than thirdhand. Now I can see how accurate those stories were."" Bendron replies, with a new pep in his step"
884,RealZachKraus,"Chadwick let's out a low whistle, ""They're horrible, disgusting creatures. About the size of a man, but that's about the end of the comparison. They garble some indecipherable tongue, they worship the devil, and they smear themselves in their own feces. They engage in homosexual acts as part of their sick rebellion against nature, are corrupted. They carry no banners, they profess no creed save kill and destroy, they build no dynasties, and they always leave the fücken door open. You have no idea the depths of depravity the Muor are capable of."""
885,Graehamkracker,"""Boy, I have been fighting orcs and their ilk in all their depravity for some 45 years since my <i>Selecting, and we have been fighting them for ages before for the very survival of the First Cities. I have a pretty good idea, but I don't doubt that these are also cruel in their own ways."" Bendron's tone softens as he goes, remembering that those days are long past for all others."
886,Nightwing32193,"""Aye, and that about sums it up. Chad and me spent a year fighting them when they invaded Audaria a few years back. Great time if im being honest."""
887,Dragodar,"As the party converses, they make their way up the long ramps and out of the quarry. The temperature at the lip of the quarry feels more than ten degrees warmer than at the bottom. To the west and north, the Sudrin Mountains stand strong and tall in all their majestic glory. To the east, long flat grasslands extend as far the eye can see. To the south, a narrow river winds its way out of the quarry and across the grassy plains, extending for several miles and then, far in the distance, emptying into the vast blue of the sea.Already, despite the early morning hours, the sun shines down on the group, noticeably warming them. Looking east, they are able to see a few lonely trees peppered sporadically across the landscape, but they are few and far between, and the road east is a long one with minimal cover or shade.The heat of the environment contrasts sharply with the wintery cold north of the mountains. It hardly feels like winter at all here.The quarry is about where the river exits the mountains. This picture is not from your current vantage point, or even the current time of day; it's just to give you an idea of the landscape.It is about 9 am on Wednesday, Iru 10th. The temperature is currently about 70* F. (It was about 40* F north of the mountains.)"
888,Graehamkracker,"Looking at the sparse road ahead, Bendron asks ""I thought you elves preferred forests over drylands."""
889,BeefyChickens,"""If you were speaking of the Moedri or the Valhiri, you would be correct. However, my people, the Audari, prefer the warmth of the southern summers and the openness of the plains."""
890,Nightwing32193,"""Do your people use mounts?"" "
891,Dragodar,"The party buckles down and prepares for more walking. They head off into the morning sun, tramping doggedly across the wide, grassy plain ahead of them. The first couple hours go by comfortably, but as the sun rises higher in the sky the adventurers begin to notice a distinctly annoying lack of shade. Every couple miles or so, there will be a small tree or two, but they find themselves spending most of their time in direct sunlight. By noon, their skin is already pink and warm to the touch where exposed. Bendron is already noticeably sunburned and the rest are soon to follow.The grassy plain still stretches to the horizon in every direction. With Demryon's compass, they are able to keep a steady tack east southeast. As usual, their progress is somewhat slowed by Seamus. The boy marches along quietly and without complaint, but his short legs can only carry him so fast.It is just after noon on Wednesday, Iru 10th. The temperature is currently about 80* F."
892,Graehamkracker,"Grimacing under the sun, Bendron grumbles ""This is much worse than the caves were."""
893,RealZachKraus,"Chadwick shoots Bendron a sympathetic look. ""I'm sorry you're wasted on this cross country. I don't know much about you dwarves, but I've heard tell you're natural sprinters."""
894,Graehamkracker,"""Mayhaps. Though I'd imagine that most sprinters do not wear all this armor."""
895,RealZachKraus,"Chadwick laughs heartily, ""You sell yourself 'short,' bud! I'll bet you're very dangerous over short distances."""
896,Dragodar,"As Chadwick and Bendron chat cheerfully, a few indiscernible shapes become visible near the horizon. They are still too small to make out, but they don't quite look like trees.The five little brown smudges in the center/left of the image, in the depression on the side of the hill."
897,Graehamkracker,"""What would I sell myself for?"""
898,RealZachKraus,"Chadwick can barely keep a straight face at this point, ""Hey dere, Demryon, what do your elf eyes see?"""
899,Nightwing32193,"Gideon blocks the sun with one hand amd squints, attempting to make out the shapes."
900,Dragodar,"Demryon squints, shielding his eyes with his hands as he surveys the horizon. ""Whatever they are, they aren't moving. We should proceed with caution, regardless. I can scout ahead if the rest of you want to backtrack a bit and wait under that tree we just passed.""The elf turns and points at a small tree about thirty yards behind them, and looks from one companion to another, waiting to hear their opinions."
901,Graehamkracker,"""Shade sounds great"" Bendron speaks as he heads back and sits down in whatever shade he can find"
902,RealZachKraus,"""Twist my arm bud."""
903,Dragodar,"Demryon nods with a wry smile as the group eagerly retreats to the tree. He swings his pack off of his shoulder and kneels beside it, rummaging around inside for a moment. He pulls out a yellowish brown cloak, replacing it with his dark green one. Swinging his pack back over his shoulder, he stands, holding the new cloak out in front of him. He looks at the cloak, then up at the landscape in the direction of the mysterious shapes in the distance, then back at the cloak. With a nod of satisfaction, he pulls it over his shoulders and clasps it, drawing the hood over his head and past his brow.Adjusting his pack to a comfortable position, Demryon takes a step forward, and begins walking with a strange gait. He seems to bend and flow in the wind, moving with the grass in perfect harmony with the landscape. With bob here and a dip there, his strange lilting gait causes his appearance to almost shimmer and waver. Even as they watch, his companions begin to notice the edges of his frame becoming blurry as he grows further away. Within seconds, they have lost sight of him completely. His ability to blend with the landscape is so astonishingly well trained that even under their careful observance, he has disappeared entirely from view.The party members shake their heads in wonder and turn to await the elf's return in the shade of the tree. Once they've seated themselves comfortably, they scan the landscape, searching for their elf friend. Every few minutes, one of them will spot him for just a moment and point him out to the rest, only to watch him disappear again right before their very eyes. Impressed, they realize that only the most vigilant enemy with the sharpest eyesight could ever spot him approaching.The shade of the tree is a cool relief from the constant sun, and the party rests and rehydrates while they wait for their friend.=============Despite the absurd effectiveness of Demryon's ability to blend in, it <i>does slow him down significantly, and his progress is very gradual. The party waits for ten minutes, twenty, thirty... As the sun crawls lethargically through the sky, the party feels a pleasant drowsiness coming on. But despite their comfortable position on the soft grass under the shady tree, the duration of Demryon's absence slowly begins to instill worry in their minds. After almost forty minutes, they begin to wish Demryon had told them how long to expect him to be gone.It is almost 1:00 PM on Wednesday, Iru 10th. The temperature is currently about 85* F."
904,Graehamkracker,"""Are those other shapes still out there?"""
905,Dragodar,Yes. Still just as vague as before though.
906,Nightwing32193,"""Yeah, they're still out there. Cant quite make out what it is though. Looks like possible battle or marching formations."""
907,Graehamkracker,"Bendron sighs. ""Guess we need to go save our elf then."""
908,Nightwing32193,"""What should we do? Get closer and assess the situation?"""
909,Graehamkracker,"""May as well. Worst case they see us, and we have to kill them"" Bendron gets up and stretches, running through a few attacking motions against the empty air."
910,Nightwing32193,"""And possibly, maybe, find our elf."""
911,Dragodar,"The group gathers their things and heads out, following Demryon toward the unidentifiable shapes. As they walk, they realize that the shapes are further than they thought. After about fifteen minutes, they only seem to have gotten halfway there. At this point they are able to see that the shapes resemble large tents or temporary structures. After walking for another ten minutes, the adventurers are still about 500 yards from the tents, and as of yet do not see any movement or activity around them.=============As they continue their approach, they soon spot a figure heading their way. Within minutes, they realize that it is none other than their friend Demryon. He advances at a relaxed pace, showing no sign of sneaking or fleeing. As they get closer, he waves at them."
912,Graehamkracker,"Bendron shrugs a response. ""We got antsy. Find anything fun?"""
913,Dragodar,"""Sorry, friends. I should have mentioned that my methods can take a while. I actually only reached the tents about twenty minutes ago. I was just on my way back to fetch you."" Demryon smiles, looking around at his companions. He gestures for them to follow him as he turns and heads back toward the camp.""And shade."""
914,Graehamkracker,"""The only thing worse than bad news is not knowing what that news is. Out with it, so we can rest without guessing."""
915,Dragodar,"The elf smiles at Bendron's simple wisdom. ""I only say to wait because it is a rather complex matter that should be explained in full when we arrive. But if you want the short version: the orcs of Muorichos are pressing their advantage."" Demryon's smile fades and a somber look falls over his features. ""The invasion only gains momentum with every passing day, and the kingdoms of Aezelon are unprepared for it. Three months ago, the orcs sacked my city, Farindahl. If they capture the cities of Suldetta and Armodahl on the edge of the Sudrin Mountains, they will have a nigh unbreakable hold on the Audarian peninsula, and Aezelon may not be able to drive them out.The elf pauses and an expression of sorrow flits across his face. ""We will go over the details later,"" he says, growing quiet.=============Soon, they come upon the ambiguous structures. Not quite houses but more than tents, they seems to be fashioned from wood and hide. The branches and trunks of young trees make up the bodies of the structures, and large, thick animal skins are stretched across these frameworks. As they enter the camp, they see about ten elves standing around, curiously looking on, several of them no more than children. Demryon approaches an older looking male elf and shares a few words with him. Then the two of them approach the rest of the companions. The elf is even taller than Demryon, nearing seven feet in height. Inasmuch as elves are able to look grizzled, this one does. His blonde hair shows traces of gray and is tied in a haphazard topknot on his head, and a hint of scruff covers his chin. He has a thin scar down the side of his face, and his dark gray eyes are piercing and hard.""This is Uamm. He was an Elder on the Council before Farindahl was sacked.""The elf greets them and adds on to Demryon's introduction. ""I was also a very close friend of the duke before he died, and my loyalty to his family shall not soon fade. If you are friends of Lord Demryon, I consider you friends of mine."""
916,Graehamkracker,"""Our friend here says that things are growing more dire by the day. How are your folk holding up?"" Bendron directs his question at Uamm"
917,Dragodar,"Uamm looks down at the dwarf standing behind Gideon's massive frame, seeing him for the first time. A look of shock flits across his face for a moment. ""We are doing quite well, good sir. I must say I am surprised to see one of the <i>Đwérgir here in Audaria,"" he responds, respectfully using the dwarvish word for their own race. He lowers himself to one knee in front of Bendron. Glancing over the dwarf's armor, Uamm's eyes widen in disbelief. ""My friend, if I am not mistaken... you are not of the Thandi. Your armor bears the markings of the Yundri... but that cannot be. They have been..."" he pauses for a moment, at a loss for words. He looks Bendron in the eye with a searching gaze. ""Yundri maeb ert þú örugi yn ddim?"" he asks in a whisper, using Bendron's native tongue.""Surely you are not a son of Yundrica?"""
918,Graehamkracker,"""ég er ekkert annað""I am nothing else.""We had returned to the first cities, and worked to hold up the mountains against the storm. They buried us, but we persisted long enough to find some ways to survive. A fortnight ago we were holding back the mountain and it's more feral inhabitants, and now it is some 1500 years later and things are quite different."""
919,Dragodar,"""My grandfather used to tell me stories of the Yundri,"" Uamm says, remaining on one knee. His face bears the signs of disbelief and wonder. He struggles for words as he tries to express his confusion. ""Even among the elves it is almost three generations since Bovurum Leiðogúfall led the last Yundri from the fallen cities. They went north many years ago to join Thandos. I must admit there is much I do not understand..."" Uamm continues to inspect Bendron, his face asking all the questions his mouth could not articulate.He pauses, remembering his manners. ""Friends, you will eat and rest tonight. We do not have much to offer, but what we do have is yours."" The elf looks back at Bendron, addressing the dwarf directly. ""I have many questions for you, master dwarf. I would ask that you sit at my side while we sup.""<i>Leiðogúfall translates to ""One who led out from the mountain"" in Yundri. It is not a title that Bovurum had when you knew him.Uamm stands and turns to Demryon and addresses him in elvish. ""Meh tärea kustella valloi. Katso huonä toivo, herre.""""We have important matters to discuss about the invasion. Things are looking very bad, my lord."""
920,Graehamkracker,"""Of course, as long as you can field some of mine. I'm very interested in these stories about Bovurum, son of Bovuram and how his <i>Leiðogúfall came about."""
921,Nightwing32193,"Gideon looks down at the dwarf, ""Huh. Looks like you got yourself an admirer, mate. Lucky for us I suppose. Wasn't aware your people held that kind of respect in these parts. I'd love to hear your tales as well when the time comes."""
922,Graehamkracker,"""We used to be all over the continent: if not as artisans or builders, then as vanguard or bodyguard. And our own cities and armies were a sight to behold. Time is a devastating force when no one works against it."""
923,Nightwing32193,"Gideon nods,""Thats truth, Ben."" he says with a sigh. Turning around he walks back through the entrance of the camp. He then proceeds to unbuckle his weapons and armor and place them together in a neat pile before beginning a lap around the camp and a brisk pace."
